id,english,sparql
0,how many movies are there whose dbo:director is dbr:Stanley_Kubrick ?,select distinct count ( ?uri ) where { ?uri dbo:director dbr:Stanley_Kubrick . }
1,what dbo:City 's dbo:founder is dbr:John_Forbes_(British_Army_officer) ?,select distinct ?uri where { ?uri dbo:founder dbr:John_Forbes_(British_Army_officer) . ?uri rdf:type dbo:City }
2,what is the dbo:River whose dbo:riverMouth is dbr:Dead_Sea ?,select distinct ?uri where { ?uri dbo:riverMouth dbr:Dead_Sea . ?uri rdf:type dbo:River }
3,what is the dbp:allegiance of dbr:John_Kotelawala ?,select distinct ?uri where { dbr:John_Kotelawala dbp:allegiance ?uri }
4,what is the total number of dbp:race of the race horses whose dbo:breeder is dbr:Jacques_Van't_Hart ?,select distinct count ( ?uri ) where { ?x dbo:breeder dbr:Jacques_Van't_Hart . ?x dbp:race ?uri . }
5,"what is the dbo:incumbent of the dbr:Al_Gore_presidential_campaign,_2000 and dbo:president of the dbr:Ann_Lewis ?","select distinct ?uri where { dbr:Al_Gore_presidential_campaign,_2000 dbo:incumbent ?uri . dbr:Ann_Lewis dbo:president uri }"
6,what is the dbo:region of dbr:Tom_Perriello ?,select distinct ?uri where { dbr:Tom_Perriello dbo:region ?uri }
7,what is the dbo:layout of the dbo:Automobile whose dbp:related is dbr:Subaru_Outback ?,select distinct ?uri where { ?x dbp:related dbr:Subaru_Outback . ?x dbo:layout ?uri . ?x rdf:type dbo:Automobile }
8,what is the dbp:address of the hotels whose dbp:operator is dbr:Starwood_Hotels_and_Resorts_Worldwide ?,select distinct ?uri where { ?x dbp:operator dbr:Starwood_Hotels_and_Resorts_Worldwide . ?x dbp:address ?uri . }
9,what is the dbp:mascot of dbr:Austin_College ?,select distinct ?uri where { dbr:Austin_College dbp:mascot ?uri }
10,what is the dbo:university of the rugby player who is the dbp:headcoach of dbr:1906–17_Stanford_rugby_teams ?,select distinct ?uri where { dbr:1906–17_Stanford_rugby_teams dbp:headcoach ?x . ?x dbo:university ?uri . }
11,"give me a count of people whose dbp:residence is dbr:Wilton,_Connecticut ?","select distinct count ( ?uri ) where { ?uri dbp:residence dbr:Wilton,_Connecticut . }"
12,what is the dbo:award of the person who is the dbo:director of dbr:The_Haunted_House_(1929_film) ?,select distinct ?uri where { dbr:The_Haunted_House_(1929_film) dbo:director ?x . ?x dbo:award ?uri . }
13,what is the dbp:origin of dbr:Henry_Cluney ?,select distinct ?uri where { dbr:Henry_Cluney dbp:origin ?uri }
14,list the dbp:knownFor of the dbo:Person whose dbp:placeOfBirth is dbr:New_Orleans ?,select distinct ?uri where { ?x dbp:placeOfBirth dbr:New_Orleans . ?x dbp:knownFor ?uri . ?x rdf:type dbo:Person }
15,what is the dbo:sport of the dbo:School whose dbp:region is dbr:Capital_region ?,select distinct ?uri where { ?x dbp:region dbr:Capital_region . ?x dbo:sport ?uri . ?x rdf:type dbo:School }
16,what is the dbp:developer of the dbr:Batch_Monitor and dbp:distributor of the dbr:Riddim_Ribbon_feat._The_Black_Eyed_Peas ?,select distinct ?uri where { dbr:Batch_Monitor dbp:developer ?uri . dbr:Riddim_Ribbon_feat._The_Black_Eyed_Peas dbp:distributor uri }
